종목코드,구성종목명,주식수(계약수),평가금액,시가총액,시가총액 구성비중,ETF명,ETF_ID,시가총액 구성비중_정규화,기업코드,기업명,평가년도,ESG등급,환경,사회,지배구조,ESG점수,E점수,S점수,G점수,조인성공,ESG_데이터존재,ESG_가중점수,E_가중점수,S_가중점수,G_가중점수
000150,두산,12.00,14436000,13416000,0.0144,KODEX_200ESG,KODEX_200ESG,0.014411529223378704,000150,두산,2025,A,A,A+,B+,8,8,9,7,1,True,0.11529223378702963,0.11529223378702963,0.12970376301040834,0.10088070456365092
096770,SK이노베이션,117.00,13033800,13162500,0.0141,KODEX_200ESG,KODEX_200ESG,0.01411128903122498,096770,SK이노베이션,2025,A,B+,A+,A+,8,7,9,9,1,True,0.11289031224979984,0.09877902321857486,0.12700160128102483,0.12700160128102483
028050,삼성E&A,392.00,12975200,13112400,0.0141,KODEX_200ESG,KODEX_200ESG,0.01411128903122498,028050,삼성E&A,2025,A,A,A,A,8,8,8,8,1,True,0.11289031224979984,0.11289031224979984,0.11289031224979984,0.11289031224979984
006400,삼성SDI,31.00,12570500,12756500,0.0137,KODEX_200ESG,KODEX_200ESG,0.013710968775020017,006400,삼성SDI,2025,A,A,A+,B+,8,8,9,7,1,True,0.10968775020016014,0.10968775020016014,0.12339871897518015,0.09597678142514013
016360,삼성증권,131.00,12785600,12366400,0.013300000000000001,KODEX_200ESG,KODEX_200ESG,0.013310648518815053,016360,삼성증권,2025,A,A,A+,B+,8,8,9,7,1,True,0.10648518815052042,0.10648518815052042,0.11979583666933548,0.09317453963170537
207940,삼성바이오로직스,8.00,12848000,12256000,0.0131,KODEX_200ESG,KODEX_200ESG,0.013110488390712572,207940,삼성바이오로직스,2025,A,A,A+,A,8,8,9,8,1,True,0.10488390712570057,0.10488390712570057,0.11799439551641315,0.10488390712570057
267250,HD현대,50.00,12875000,12200000,0.0131,KODEX_200ESG,KODEX_200ESG,0.013110488390712572,267250,HD현대,2025,A,A,A+,B+,8,8,9,7,1,True,0.10488390712570057,0.10488390712570057,0.11799439551641315,0.091773418734988
030200,KT,200.00,12160000,12000000,0.0129,KODEX_200ESG,KODEX_200ESG,0.012910328262610089,030200,케이티,2025,A,A,A,A,8,8,8,8,1,True,0.10328262610088071,0.10328262610088071,0.10328262610088071,0.10328262610088071
323410,카카오뱅크,493.00,12152450,11955250,0.0128,KODEX_200ESG,KODEX_200ESG,0.012810248198558848,323410,카카오뱅크,2025,A,A,A,A,8,8,8,8,1,True,0.10248198558847078,0.10248198558847078,0.10248198558847078,0.10248198558847078
035420,NAVER,57.00,12112500,11770500,0.0126,KODEX_200ESG,KODEX_200ESG,0.012610088070456365,035420,NAVER,2025,A,A,A+,A,8,8,9,8,1,True,0.10088070456365092,0.10088070456365092,0.11349079263410729,0.10088070456365092
003230,삼양식품,10.00,11830000,11740000,0.0126,KODEX_200ESG,KODEX_200ESG,0.012610088070456365,003230,삼양식품,2025,A+,A+,A+,A,9,9,9,8,1,True,0.11349079263410729,0.11349079263410729,0.11349079263410729,0.10088070456365092
138040,메리츠금융지주,102.00,11872800,11689200,0.0125,KODEX_200ESG,KODEX_200ESG,0.012510008006405124,138040,메리츠금융지주,2025,A,B+,A,A,8,7,8,8,1,True,0.100080064051241,0.08757005604483586,0.100080064051241,0.100080064051241
011200,HMM,603.00,11854980,11680110,0.0125,KODEX_200ESG,KODEX_200ESG,0.012510008006405124,011200,HMM,2025,A,A,A+,A,8,8,9,8,1,True,0.100080064051241,0.100080064051241,0.11259007205764612,0.100080064051241
003670,포스코퓨처엠,53.00,11077000,11368500,0.012199999999999999,KODEX_200ESG,KODEX_200ESG,0.0122097678142514,003670,포스코퓨처엠,2025,A,A,A+,A,8,8,9,8,1,True,0.0976781425140112,0.0976781425140112,0.1098879103282626,0.0976781425140112
068270,셀트리온,55.00,11330000,11055000,0.011899999999999999,KODEX_200ESG,KODEX_200ESG,0.011909527622097677,068270,셀트리온,2025,A,A,A+,B+,8,8,9,7,1,True,0.09527622097678141,0.09527622097678141,0.1071857485988791,0.08336669335468373
066570,LG전자,102.00,11424000,11016000,0.0118,KODEX_200ESG,KODEX_200ESG,0.011809447558046438,066570,LG전자,2025,A,A,A+,B+,8,8,9,7,1,True,0.0944755804643715,0.0944755804643715,0.10628502802241795,0.08266613290632506
005940,NH투자증권,356.00,12193000,11000400,0.0118,KODEX_200ESG,KODEX_200ESG,0.011809447558046438,005940,NH투자증권,2025,B+,A,A,B+,7,8,8,7,1,True,0.08266613290632506,0.0944755804643715,0.0944755804643715,0.08266613290632506
009830,한화솔루션,298.00,10623700,10891900,0.011699999999999999,KODEX_200ESG,KODEX_200ESG,0.011709367493995195,009830,한화솔루션,2025,A,A,A+,B+,8,8,9,7,1,True,0.09367493995196156,0.09367493995196156,0.10538430744595675,0.08196557245796637
090430,아모레퍼시픽,76.00,10974400,10662800,0.011399999999999999,KODEX_200ESG,KODEX_200ESG,0.011409127301841472,090430,아모레퍼시픽,2025,A,A,A+,A,8,8,9,8,1,True,0.09127301841473177,0.09127301841473177,0.10268214571657325,0.09127301841473177
329180,HD현대중공업,22.00,10967000,10527000,0.0113,KODEX_200ESG,KODEX_200ESG,0.011309047237790231,329180,HD현대중공업,2025,A,A,A,A,8,8,8,8,1,True,0.09047237790232185,0.09047237790232185,0.09047237790232185,0.09047237790232185
036570,엔씨소프트,47.00,10810000,10340000,0.0111,KODEX_200ESG,KODEX_200ESG,0.011108887109687752,036570,엔씨소프트,2025,A,B+,A,A,8,7,8,8,1,True,0.08887109687750201,0.07776220976781426,0.08887109687750201,0.08887109687750201
373220,LG에너지솔루션,25.00,9862500,10131250,0.0109,KODEX_200ESG,KODEX_200ESG,0.010908726981585268,373220,LG에너지솔루션,2025,A,B+,A+,A,8,7,9,8,1,True,0.08726981585268215,0.07636108887109688,0.09817854283426741,0.08726981585268215
010950,S-Oil,92.00,10092400,10074000,0.0108,KODEX_200ESG,KODEX_200ESG,0.010808646917534028,010950,S-Oil,2025,A,B+,A+,A,8,7,9,8,1,True,0.08646917534027222,0.0756605284227382,0.09727782225780625,0.08646917534027222
259960,크래프톤,40.00,10180000,10000000,0.010700000000000001,KODEX_200ESG,KODEX_200ESG,0.010708566853482787,259960,크래프톤,2025,A,B+,A,A,8,7,8,8,1,True,0.0856685348278623,0.07495996797437951,0.0856685348278623,0.0856685348278623
012330,현대모비스,25.00,10212500,9875000,0.0106,KODEX_200ESG,KODEX_200ESG,0.010608486789431545,012330,현대모비스,2025,B+,B+,A+,B,7,7,9,6,1,True,0.07425940752602081,0.07425940752602081,0.0954763811048839,0.06365092073658926
035720,카카오,199.00,9711200,9353000,0.01,KODEX_200ESG,KODEX_200ESG,0.010008006405124099,035720,카카오,2025,A,A,A+,A,8,8,9,8,1,True,0.08006405124099279,0.08006405124099279,0.0900720576461169,0.08006405124099279
000810,삼성화재,21.00,9303000,9324000,0.01,KODEX_200ESG,KODEX_200ESG,0.010008006405124099,000810,삼성화재해상보험,2025,A,A,A+,A,8,8,9,8,1,True,0.08006405124099279,0.08006405124099279,0.0900720576461169,0.08006405124099279
010140,삼성중공업,375.00,9750000,9187500,0.009899999999999999,KODEX_200ESG,KODEX_200ESG,0.009907926341072858,010140,삼성중공업,2025,B+,A,B+,B+,7,8,7,7,1,True,0.06935548438751,0.07926341072858287,0.06935548438751,0.06935548438751
009540,HD한국조선해양,26.00,9542000,8996000,0.0096,KODEX_200ESG,KODEX_200ESG,0.009607686148919135,009540,HD한국조선해양,2025,A,A,A,A,8,8,8,8,1,True,0.07686148919135308,0.07686148919135308,0.07686148919135308,0.07686148919135308
018260,삼성에스디에스,59.00,9221700,8991600,0.0096,KODEX_200ESG,KODEX_200ESG,0.009607686148919135,018260,삼성에스디에스,2025,A,A,A+,A,8,8,9,8,1,True,0.07686148919135308,0.07686148919135308,0.08646917534027221,0.07686148919135308
011070,LG이노텍,29.00,9294500,8975500,0.0096,KODEX_200ESG,KODEX_200ESG,0.009607686148919135,011070,LG이노텍,2025,A,A,A+,A,8,8,9,8,1,True,0.07686148919135308,0.07686148919135308,0.08646917534027221,0.07686148919135308
034220,LG디스플레이,805.00,9257500,8935500,0.0096,KODEX_200ESG,KODEX_200ESG,0.009607686148919135,034220,LG디스플레이,2025,A,A,A+,B+,8,8,9,7,1,True,0.07686148919135308,0.07686148919135308,0.08646917534027221,0.06725380304243395
000100,유한양행,90.00,9036000,8793000,0.009399999999999999,KODEX_200ESG,KODEX_200ESG,0.009407526020816652,000100,유한양행,2025,A,B+,A+,A,8,7,9,8,1,True,0.07526020816653321,0.06585268214571656,0.08466773418734987,0.07526020816653321
047050,포스코인터내셔널,116.00,8642000,8700000,0.009300000000000001,KODEX_200ESG,KODEX_200ESG,0.009307445956765413,047050,포스코인터내셔널,2025,A,B+,A+,A,8,7,9,8,1,True,0.0744595676541233,0.06515212169735789,0.08376701361088872,0.0744595676541233
047040,대우건설,498.00,8595480,8645280,0.009300000000000001,KODEX_200ESG,KODEX_200ESG,0.009307445956765413,047040,대우건설,2025,A,A,B+,A,8,8,7,8,1,True,0.0744595676541233,0.0744595676541233,0.06515212169735789,0.0744595676541233
024110,기업은행,366.00,8619300,8033700,0.0086,KODEX_200ESG,KODEX_200ESG,0.008606885508406726,024110,기업은행,2025,B,A+,A+,C,6,9,9,4,1,True,0.051641313050440354,0.07746196957566054,0.07746196957566054,0.034427542033626905
138930,BNK금융지주,442.00,8256560,8031140,0.0086,KODEX_200ESG,KODEX_200ESG,0.008606885508406726,138930,BNK금융지주,2025,A,A+,A+,A,8,9,9,8,1,True,0.06885508406725381,0.07746196957566054,0.07746196957566054,0.06885508406725381
032640,LG유플러스,495.00,7969500,7578450,0.008100000000000001,KODEX_200ESG,KODEX_200ESG,0.008106485188150521,032640,LG유플러스,2025,A,A+,A+,A,8,9,9,8,1,True,0.06485188150520417,0.07295836669335469,0.07295836669335469,0.06485188150520417
010060,OCI홀딩스,38.00,6794400,7307400,0.0078000000000000005,KODEX_200ESG,KODEX_200ESG,0.0078062449959967984,010060,OCI홀딩스,2025,B+,B+,A,B+,7,7,8,7,1,True,0.05464371497197759,0.05464371497197759,0.06244995996797439,0.05464371497197759
021240,코웨이,90.00,6615000,6561000,0.006999999999999999,KODEX_200ESG,KODEX_200ESG,0.007005604483586869,021240,코웨이,2025,A,A,A+,B+,8,8,9,7,1,True,0.05604483586869495,0.05604483586869495,0.06305044035228181,0.04903923138510808
051900,LG생활건강,25.00,6187500,6050000,0.006500000000000001,KODEX_200ESG,KODEX_200ESG,0.0065052041633306655,051900,LG생활건강,2025,A,B+,A+,A,8,7,9,8,1,True,0.052041633306645324,0.045536429143314655,0.05854683746997599,0.052041633306645324
175330,JB금융지주,191.00,5940100,5682250,0.0060999999999999995,KODEX_200ESG,KODEX_200ESG,0.0061048839071257,175330,JB금융지주,2025,A,A+,A,A,8,9,8,8,1,True,0.0488390712570056,0.0549439551641313,0.0488390712570056,0.0488390712570056
326030,SK바이오팜,58.00,5817400,5608600,0.006,KODEX_200ESG,KODEX_200ESG,0.00600480384307446,326030,에스케이바이오팜,2025,A,A,A,A,8,8,8,8,1,True,0.04803843074459568,0.04803843074459568,0.04803843074459568,0.04803843074459568
011790,SKC,55.00,5428500,5252500,0.005600000000000001,KODEX_200ESG,KODEX_200ESG,0.005604483586869497,011790,SKC,2025,A,B+,A+,A,8,7,9,8,1,True,0.044835868694955976,0.03923138510808648,0.050440352281825473,0.044835868694955976
375500,DL이앤씨,73.00,4803400,5051600,0.0054,KODEX_200ESG,KODEX_200ESG,0.005404323458767014,375500,DL이앤씨,2025,A,A+,A,B+,8,9,8,7,1,True,0.04323458767013611,0.048638911128903124,0.04323458767013611,0.0378302642113691
