종목코드,구성종목명,주식수(계약수),평가금액,시가총액,시가총액 구성비중,ETF명,ETF_ID,시가총액 구성비중_정규화
024110,기업은행,366.00,8619300,8033700,0.0086,KODEX_200ESG,KODEX_200ESG,0.008606885508406726
138930,BNK금융지주,442.00,8256560,8031140,0.0086,KODEX_200ESG,KODEX_200ESG,0.008606885508406726
032640,LG유플러스,495.00,7969500,7578450,0.008100000000000001,KODEX_200ESG,KODEX_200ESG,0.008106485188150521
010060,OCI홀딩스,38.00,6794400,7307400,0.0078000000000000005,KODEX_200ESG,KODEX_200ESG,0.0078062449959967984
021240,코웨이,90.00,6615000,6561000,0.006999999999999999,KODEX_200ESG,KODEX_200ESG,0.007005604483586869
051900,LG생활건강,25.00,6187500,6050000,0.006500000000000001,KODEX_200ESG,KODEX_200ESG,0.0065052041633306655
175330,JB금융지주,191.00,5940100,5682250,0.0060999999999999995,KODEX_200ESG,KODEX_200ESG,0.0061048839071257
326030,SK바이오팜,58.00,5817400,5608600,0.006,KODEX_200ESG,KODEX_200ESG,0.00600480384307446
011790,SKC,55.00,5428500,5252500,0.005600000000000001,KODEX_200ESG,KODEX_200ESG,0.005604483586869497
375500,DL이앤씨,73.00,4803400,5051600,0.0054,KODEX_200ESG,KODEX_200ESG,0.005404323458767014
336260,두산퓨얼셀,139.00,5302850,4976200,0.0053,KODEX_200ESG,KODEX_200ESG,0.005304243394715772
192820,코스맥스,25.00,5125000,4792500,0.0051,KODEX_200ESG,KODEX_200ESG,0.005104083266613291
097950,CJ제일제당,22.00,4719000,4763000,0.0051,KODEX_200ESG,KODEX_200ESG,0.005104083266613291
139130,iM금융지주,272.00,4806240,4572320,0.0049,KODEX_200ESG,KODEX_200ESG,0.004903923138510809
017800,현대엘리베이터,52.00,4529200,4414800,0.004699999999999999,KODEX_200ESG,KODEX_200ESG,0.004703763010408326
139480,이마트,45.00,4500000,4410000,0.004699999999999999,KODEX_200ESG,KODEX_200ESG,0.004703763010408326
001450,현대해상,140.00,4403000,4340000,0.004699999999999999,KODEX_200ESG,KODEX_200ESG,0.004703763010408326
251270,넷마블,87.00,4541400,4315200,0.0046,KODEX_200ESG,KODEX_200ESG,0.004603682946357086
011780,금호석유화학,36.00,4554000,4291200,0.0046,KODEX_200ESG,KODEX_200ESG,0.004603682946357086
006360,GS건설,151.00,3978850,3933550,0.0042,KODEX_200ESG,KODEX_200ESG,0.004203362690152122
377300,카카오페이,78.00,4173000,3931200,0.0042,KODEX_200ESG,KODEX_200ESG,0.004203362690152122
161890,한국콜마,51.00,4090200,3911700,0.0042,KODEX_200ESG,KODEX_200ESG,0.004203362690152122
022100,포스코DX,120.00,3666000,3564000,0.0038,KODEX_200ESG,KODEX_200ESG,0.0038030424339471577
011170,롯데케미칼,43.00,3556100,3517400,0.0038,KODEX_200ESG,KODEX_200ESG,0.0038030424339471577
004170,신세계,11.00,3707000,3360500,0.0036,KODEX_200ESG,KODEX_200ESG,0.003602882305844676
097230,HJ중공업,148.00,3633400,3352200,0.0036,KODEX_200ESG,KODEX_200ESG,0.003602882305844676
088350,한화생명,737.00,3478640,3342295,0.0036,KODEX_200ESG,KODEX_200ESG,0.003602882305844676
036460,한국가스공사,92.00,3256800,3201600,0.0034000000000000002,KODEX_200ESG,KODEX_200ESG,0.003402722177742194
267270,HD건설기계,24.00,3122400,3016800,0.0032,KODEX_200ESG,KODEX_200ESG,0.003202562049639712
051600,한전KPS,51.00,3009000,2917200,0.0031,KODEX_200ESG,KODEX_200ESG,0.003102481985588471
204320,HL만도,59.00,3020800,2905750,0.0031,KODEX_200ESG,KODEX_200ESG,0.003102481985588471
011210,현대위아,35.00,2859500,2779000,0.003,KODEX_200ESG,KODEX_200ESG,0.00300240192153723
302440,SK바이오사이언스,62.00,2678400,2604000,0.0028000000000000004,KODEX_200ESG,KODEX_200ESG,0.0028022417934347485
000120,CJ대한통운,24.00,2596800,2505600,0.0027,KODEX_200ESG,KODEX_200ESG,0.002702161729383507
030000,제일기획,129.00,2558070,2487120,0.0027,KODEX_200ESG,KODEX_200ESG,0.002702161729383507
023530,롯데쇼핑,23.00,2631200,2442600,0.0026,KODEX_200ESG,KODEX_200ESG,0.002602081665332266
214150,클래시스,44.00,2376000,2318800,0.0025,KODEX_200ESG,KODEX_200ESG,0.0025020016012810248
004800,효성,16.00,2233600,2136000,0.0023,KODEX_200ESG,KODEX_200ESG,0.002301841473178543
003530,한화투자증권,307.00,2207330,2115230,0.0023,KODEX_200ESG,KODEX_200ESG,0.002301841473178543
069960,현대백화점,26.00,2197000,2059200,0.0022,KODEX_200ESG,KODEX_200ESG,0.002201761409127302
361610,SK아이이테크놀로지,87.00,1883550,1914000,0.0021,KODEX_200ESG,KODEX_200ESG,0.002101681345076061
298020,효성티앤씨,5.00,2007500,1907500,0.002,KODEX_200ESG,KODEX_200ESG,0.00200160128102482
003690,코리안리,142.00,1892860,1892860,0.002,KODEX_200ESG,KODEX_200ESG,0.00200160128102482
383220,F&F,29.00,1885000,1835700,0.002,KODEX_200ESG,KODEX_200ESG,0.00200160128102482
294870,HDC현대산업개발,85.00,1891250,1814750,0.0019,KODEX_200ESG,KODEX_200ESG,0.0019015212169735788
322000,HD현대에너지솔루션,13.00,1601600,1744600,0.0019,KODEX_200ESG,KODEX_200ESG,0.0019015212169735788
001510,SK증권,859.00,1778130,1717141,0.0018,KODEX_200ESG,KODEX_200ESG,0.001801441152922338
195940,HK이노엔,34.00,1805400,1713600,0.0018,KODEX_200ESG,KODEX_200ESG,0.001801441152922338
002790,아모레퍼시픽홀딩스,59.00,1731650,1675600,0.0018,KODEX_200ESG,KODEX_200ESG,0.001801441152922338
000210,DL,26.00,1627600,1622400,0.0017000000000000001,KODEX_200ESG,KODEX_200ESG,0.001701361088871097
001430,세아베스틸지주,24.00,1668000,1598400,0.0017000000000000001,KODEX_200ESG,KODEX_200ESG,0.001701361088871097
004000,롯데정밀화학,31.00,1605800,1556200,0.0017000000000000001,KODEX_200ESG,KODEX_200ESG,0.001701361088871097
029780,삼성카드,27.00,1485000,1447200,0.0016,KODEX_200ESG,KODEX_200ESG,0.001601281024819856
007310,오뚜기,4.00,1438000,1426000,0.0015,KODEX_200ESG,KODEX_200ESG,0.001501200960768615
