NO,기업명,기업코드,ESG등급,환경,사회,지배구조,평가년도,ESG 등급조정,환경 등급조정,사회 등급조정,지배구조 등급조정,ESG점수,E점수,S점수,G점수
656,브이티,018290,D,D,D,D,2025,,,,,2,2,2,2
303,조일알미늄,018470,C,C,C,C,2025,,,,,4,4,4,4
761,동원금속,018500,B+,B+,B+,B,2025,,,,,7,7,7,6
943,SK가스,018670,A+,A+,A+,A,2025,,,,,9,9,9,8
86,한온시스템,018880,A,A,A,B+,2025,,,,,8,8,8,7
529,신풍제약,019170,C,C,B+,D,2025,,,,,4,4,7,2
198,티에이치엔,019180,D,C,C,D,2025,,,,,2,4,4,2
570,세아특수강,019440,B+,B+,A,B+,2025,,,,,7,7,8,7
447,엑시큐어하이트론,019490,D,C,D,D,2025,,,,,2,4,2,2
163,플루토스,019570,D,D,D,D,2025,,,,,2,2,2,2
826,대교,019680,B,D,B+,B,2025,,,,,6,2,7,6
103,한섬,020000,A,A,A+,A,2025,,,,,8,8,9,8
218,키다리스튜디오,020120,C,D,C,C,2025,,,,,4,2,4,4
725,롯데에너지머티리얼즈,020150,B+,B+,B+,B,2025,,,,,7,7,7,6
813,대신정보통신,020180,D,D,C,D,2025,,,,,2,2,4,2
500,아시아나항공,020560,B+,A,B+,B+,2025,,,,,7,8,7,7
331,일진디스플,020760,D,C,D,D,2025,,,,,2,4,2,2
588,서원,021050,C,C,D,C,2025,,,,,4,4,2,4
230,코웨이,021240,A,A,A+,B+,2025,,,,,8,8,9,7
1013,KCC건설,021320,C,C,C,B,2025,,,,,4,4,4,6
566,세원정공,021820,D,C,C,D,2025,,,,,2,4,4,2
702,메이슨캐피탈,021880,D,D,D,D,2025,,,,,2,2,2,2
260,케이비캐피탈,021960,등급없음,등급없음,등급없음,B+,2025,,,,,0,0,0,7
176,포스코DX,022100,A,A+,A+,B+,2025,,,,,8,9,9,7
616,삼원강재,023000,B+,B+,B+,A,2025,,,,,7,7,7,8
971,MH에탄올,023150,D,D,D,D,2025,,,,,2,2,2,2
126,한국종합기술,023350,B,C,B,B,2025,,,,,6,4,6,6
377,유진기업,023410,B,A,A+,D,2025,,,,,6,8,9,2
774,동남합성,023450,D,D,C,D,2025,,,,,2,2,4,2
726,롯데쇼핑,023530,A,A,A+,A,2025,,,,,8,8,9,8
830,다우기술,023590,A,A+,A+,B+,2025,,,,,8,9,9,7
121,한국캐피탈,023760,C,D,C,B,2025,,,,,4,2,4,6
348,인지컨트롤스,023800,C,C,C,C,2025,,,,,4,4,4,4
341,인팩,023810,C,C,C,C,2025,,,,,4,4,4,4
464,에쓰씨엔지니어링,023960,D,C,C,D,2025,,,,,2,4,4,2
915,WISCOM,024070,C,C,D,B,2025,,,,,4,4,2,6
741,디씨엠,024090,D,D,D,C,2025,,,,,2,2,2,4
863,기업은행,024110,B,A+,A+,C,2025,통합 등급조정(2025.11.),,,지배구조 등급조정(2025.11.),6,9,9,4
227,콜마홀딩스,024720,A,A,A+,A,2025,,,,,8,8,9,8
803,대원화성,024890,D,C,D,D,2025,,,,,2,4,2,2
735,디와이덕양,024900,C,B,B,D,2025,,,,,4,6,6,2
1001,KPX케미칼,025000,C,C,B,D,2025,,,,,4,4,6,2
548,시노펙스,025320,C,C,C,C,2025,,,,,4,4,4,4
468,에스제이엠홀딩스,025530,C,C,C,C,2025,,,,,4,4,4,4
139,한국단자공업,025540,B,B+,A,C,2025,,,,,6,7,8,4
