NO,기업명,기업코드,ESG등급,환경,사회,지배구조,평가년도,ESG 등급조정,환경 등급조정,사회 등급조정,지배구조 등급조정,ESG점수,E점수,S점수,G점수
310,제주항공,089590,A,A,A+,A,2025,,,,,8,8,9,8
995,KT나스미디어,089600,B,B,B+,B,2025,,,,,6,6,7,6
728,롯데렌탈,089860,A,A+,A,A,2025,,,,,8,9,8,8
178,평화산업,090080,B,B+,A+,C,2025,,,,,6,7,9,4
842,노루페인트,090350,A,A,A+,B+,2025,,,,,8,8,9,7
730,로보스타,090360,D,D,D,C,2025,,,,,2,2,2,4
700,메타랩스,090370,D,D,D,D,2025,,,,,2,2,2,2
507,아모레퍼시픽,090430,A,A,A+,A,2025,,,,,8,8,9,8
651,비에이치,090460,B,B+,A+,D,2025,,,,,6,7,9,2
42,현대이지웰,090850,A,A,A+,A,2025,,,,,8,8,9,8
567,세원이앤씨,091090,D,D,D,D,2025,,,,,2,2,2,2
357,이엠텍,091120,D,D,D,C,2025,,,,,2,2,2,4
187,파트론,091700,D,C,D,D,2025,,,,,2,4,2,2
196,티웨이항공,091810,B+,B+,B+,B,2025,,,,,7,7,7,6
738,디아이씨,092200,D,C,C,D,2025,,,,,2,4,4,2
